ano,cod_UF_res,casos,abbrev_state,name_state,code_region,name_region
1991,27,37,AL,Alagoas,2,Nordeste
1991,28,25,SE,Sergipe,2,Nordeste
1991,29,215,BA,Bahia,2,Nordeste
1991,31,515,MG,Minas Gerais,3,Sudeste
1991,32,85,ES,Espirito Santo,3,Sudeste
1991,33,1603,RJ,Rio De Janeiro,3,Sudeste
1991,35,6595,SP,São Paulo,3,Sudeste
1991,41,304,PR,Paraná,4,Sul
1991,42,311,SC,Santa Catarina,4,Sul
1991,43,640,RS,Rio Grande Do Sul,4,Sul
1991,50,92,MS,Mato Grosso Do Sul,5,Centro Oeste
1991,51,67,MT,Mato Grosso,5,Centro Oeste
1991,52,140,GO,Goiás,5,Centro Oeste
1991,53,204,DF,Distrito Federal,5,Centro Oeste
1992,11,19,RO,Rondônia,1,Norte
1992,12,5,AC,Acre,1,Norte
1992,13,53,AM,Amazonas,1,Norte
1992,14,6,RR,Roraima,1,Norte
1992,15,86,PA,Pará,1,Norte
1992,16,7,AP,Amapá,1,Norte
1992,17,6,TO,Tocantins,1,Norte
1992,21,80,MA,Maranhão,2,Nordeste
1992,22,28,PI,Piauí,2,Nordeste
1992,23,172,CE,Ceará,2,Nordeste
1992,24,32,RN,Rio Grande Do Norte,2,Nordeste
1992,25,63,PB,Paraíba,2,Nordeste
1992,26,255,PE,Pernambuco,2,Nordeste
1992,27,58,AL,Alagoas,2,Nordeste
1992,28,42,SE,Sergipe,2,Nordeste
1992,29,279,BA,Bahia,2,Nordeste
1992,31,595,MG,Minas Gerais,3,Sudeste
1992,32,116,ES,Espirito Santo,3,Sudeste
1992,33,2184,RJ,Rio De Janeiro,3,Sudeste
1992,35,8080,SP,São Paulo,3,Sudeste
1992,41,438,PR,Paraná,4,Sul
1992,42,382,SC,Santa Catarina,4,Sul
1992,43,645,RS,Rio Grande Do Sul,4,Sul
1992,50,107,MS,Mato Grosso Do Sul,5,Centro Oeste
1992,51,87,MT,Mato Grosso,5,Centro Oeste
1992,52,205,GO,Goiás,5,Centro Oeste
1992,53,228,DF,Distrito Federal,5,Centro Oeste
1993,11,17,RO,Rondônia,1,Norte
1993,12,7,AC,Acre,1,Norte
1993,13,60,AM,Amazonas,1,Norte
1993,14,5,RR,Roraima,1,Norte
1993,15,116,PA,Pará,1,Norte
1993,16,1,AP,Amapá,1,Norte
1993,17,13,TO,Tocantins,1,Norte
1993,21,109,MA,Maranhão,2,Nordeste
1993,22,29,PI,Piauí,2,Nordeste
1993,23,180,CE,Ceará,2,Nordeste
1993,24,70,RN,Rio Grande Do Norte,2,Nordeste
1993,25,89,PB,Paraíba,2,Nordeste
1993,26,309,PE,Pernambuco,2,Nordeste
1993,27,73,AL,Alagoas,2,Nordeste
1993,28,47,SE,Sergipe,2,Nordeste
1993,29,314,BA,Bahia,2,Nordeste
1993,31,1002,MG,Minas Gerais,3,Sudeste
1993,32,165,ES,Espirito Santo,3,Sudeste
1993,33,2256,RJ,Rio De Janeiro,3,Sudeste
1993,35,8791,SP,São Paulo,3,Sudeste
1993,41,561,PR,Paraná,4,Sul
1993,42,530,SC,Santa Catarina,4,Sul
1993,43,948,RS,Rio Grande Do Sul,4,Sul
1993,50,192,MS,Mato Grosso Do Sul,5,Centro Oeste
1993,51,87,MT,Mato Grosso,5,Centro Oeste
1993,52,232,GO,Goiás,5,Centro Oeste
1993,53,226,DF,Distrito Federal,5,Centro Oeste
1994,11,42,RO,Rondônia,1,Norte
1994,12,8,AC,Acre,1,Norte
1994,13,84,AM,Amazonas,1,Norte
1994,14,7,RR,Roraima,1,Norte
1994,15,147,PA,Pará,1,Norte
1994,16,6,AP,Amapá,1,Norte
1994,17,18,TO,Tocantins,1,Norte
1994,21,124,MA,Maranhão,2,Nordeste
1994,22,66,PI,Piauí,2,Nordeste
1994,23,214,CE,Ceará,2,Nordeste
1994,24,89,RN,Rio Grande Do Norte,2,Nordeste
1994,25,112,PB,Paraíba,2,Nordeste
1994,26,348,PE,Pernambuco,2,Nordeste
1994,27,73,AL,Alagoas,2,Nordeste
1994,28,79,SE,Sergipe,2,Nordeste
1994,29,299,BA,Bahia,2,Nordeste
1994,31,1226,MG,Minas Gerais,3,Sudeste
1994,32,208,ES,Espirito Santo,3,Sudeste
1994,33,2401,RJ,Rio De Janeiro,3,Sudeste
1994,35,9154,SP,São Paulo,3,Sudeste
1994,41,649,PR,Paraná,4,Sul
1994,42,676,SC,Santa Catarina,4,Sul
1994,43,1110,RS,Rio Grande Do Sul,4,Sul
1994,50,173,MS,Mato Grosso Do Sul,5,Centro Oeste
1994,51,148,MT,Mato Grosso,5,Centro Oeste
1994,52,307,GO,Goiás,5,Centro Oeste
1994,53,251,DF,Distrito Federal,5,Centro Oeste
1995,11,56,RO,Rondônia,1,Norte
